BRAND,COLOUR,CONDITION,CONTRACT,MEMORY,MOBOS,MODEL,PRICE
Apple,rose,excellent,T-Mobile,32,apple iOS,IPHONE 6S,$150 
Apple,gray,like new,Unlocked,256,apple iOS,IPHONE 8 PLUS,$200 
Apple,gray,like new,Unlocked,256,apple iOS,IPHONE 8 PLUS,$200 
Lg,black,excellent,T-Mobile,16,android,V20,$125 
Apple,unknow,Unknown,Unlocked,0,apple iOS,iPhone 8 Plus,$500 
Apple,unknow,like new,T-Mobile,256,apple iOS,Iphone X,$400 
Apple,unknow,Unknown,Unlocked,64,apple iOS,xs max,$970 
Apple,red,like new,T-Mobile,64,apple iOS,IPHONE 6S,$150 
Zte,rose,like new,Unlocked,16,android,ZMAX,$95 
Apple,red,good,Unlocked,32,apple iOS,IPHONE 6S,$135 
Apple,gray,like new,Unlocked,32,apple iOS,IPHONE 6 PLUS,$155 
Apple,silver,like new,Verizon,64,apple iOS,Iphone 6S Plus,$135 
Apple,silver,like new,Unlocked,256,apple iOS,Iphone 6,$110 
Apple,unknow,like new,Unlocked,512,apple iOS,iphone 8,$400 
Apple,unknow,like new,Unlocked,64,apple iOS,iPhone 8 Plus,$360 
Apple,unknow,Unknown,Unlocked,0,apple iOS,X Max,$800 
Apple,gray,like new,At&t,32,apple iOS,IPHONE 6S,$150 
Apple,black,excellent,T-Mobile,32,apple iOS,IPHONE 6S,$65 
Apple,gold,Unknown,T-Mobile,256,apple iOS,xs max,$800 
Motorola,gray,fair,Unlocked,32,android,S6,$65 
Samsung,unknow,like new,Unlocked,512,android,s9+,$375 
Apple,unknow,like new,Verizon,64,apple iOS,iphone 8,$400 
Apple,unknow,Unknown,At&t,0,apple iOS,Iphone X,$560 
Apple,gold,like new,At&t,32,apple iOS,IPHONE 6S,$150 
Samsung,blue,like new,T-Mobile,32,android,J7 ,$55 
Apple,gray,like new,Unlocked,256,apple iOS,iPhone 8 Plus,$200 
Apple,red,like new,At&t,64,apple iOS,IPHONE 6,$150 
Motorola,red,like new,Unlocked,16,android,E5,$40 
Samsung,gray,like new,Unlocked,16,android,J3,$60 
Samsung,gold,like new,At&t,32,android,NOTE 3,$100 
Apple,black,like new,Unlocked,16,apple iOS,IPHONE 6S,$115 
Apple,silver,excellent,Unlocked,64,apple iOS,iphone 8,$200 
Apple,black,good,Unlocked,32,apple iOS,IPHONE 7,$200 
Apple,black,good,Unlocked,16,apple iOS,Galaxy s8,$125 
Apple,Grey,like new,At&t,256,apple iOS,5,$300 
Apple,blue,good,Unlocked,64,apple iOS,IPHONE 6,$135 
Apple,black,excellent,Unlocked,16,apple iOS,6 PLUS,$155 
Apple,unknow,Unknown,Unlocked,256,apple iOS,Iphone X,$700 
Apple,unknow,excellent,Unlocked,64,apple iOS,iPhone 8 Plus,$350 
Samsung,unknow,Unknown,Unlocked,0,android,Note 10 Plus,$1100 
Apple,silver,good,Unlocked,32,apple iOS,IPHONE 6S,$150 
Samsung,gold,good,Unlocked,64,android,Galaxy ALL,$50 
Apple,unknow,excellent,Unlocked,128,apple iOS,IPHONE 7,$310 
Apple,blue,like new,T-Mobile,64,apple iOS,IPHONE 7 PLUS,$250 
Apple,unknow,Unknown,Unlocked,0,apple iOS,xs max,$900 
Apple,unknow,good,Unlocked,0,apple iOS,X,$500 
Samsung,black,like new,Unlocked,64,android,s7 edge,$129 
Apple,silver,excellent,At&t,512,apple iOS,XS,$775 
Apple,unknow,like new,At&t,64,apple iOS,Iphone X,$529 
Apple,black,like new,Unlocked,128,apple iOS,IPHONE 6S,$115 
Apple,unknow,Unknown,Unlocked,0,apple iOS,iPhone 8 Plus,$575 
Apple,red,excellent,Sprint,32,apple iOS,IPHONE 6,$150 
Apple,blue,excellent,Sprint,256,apple iOS,6 PLUS,$200 
Apple,unknow,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$300 
Apple,gray,like new,T-Mobile,256,apple iOS,IPHONE 6S,$220 
Apple,gray,like new,Unlocked,64,apple iOS,IPHONE 6,$190 
Apple,gold,excellent,Unlocked,64,apple iOS,IPHONE 6,$170 
Apple,red,fair,Unlocked,64,apple iOS,IPHONE 6S,$125 
Apple,black,like new,Unlocked,128,apple iOS,IPHONE 6,$190 
Apple,purple,good,Unlocked,32,apple iOS,IPHONE 6S,$135 
Samsung,blue,like new,T-Mobile,32,android,J7 ,$150 
Apple,black,like new,Unlocked,64,apple iOS,6 PLUS,$155 
Apple,unknow,like new,Unlocked,256,apple iOS,iphone 8,$380 
Lg,gold,like new,Unlocked,256,android,G7,$230 
Apple,gray,like new,Unlocked,32,apple iOS,IPHONE 7,$239 
Apple,gray,like new,Unlocked,32,apple iOS,IPHONE 7,$240 
Apple,black,like new,Unlocked,64,apple iOS,IPHONE 6,$190 
Apple,red,good,Unlocked,128,apple iOS,IPHONE 6,$175 
Samsung,unknow,Unknown,Unlocked,0,android,S10 plus,$500 
Apple,unknow,good,Sprint,0,apple iOS,XR,$900 
Apple,white,excellent,Unlocked,64,apple iOS,iPhone,$250 
Apple,unknow,Unknown,Sprint,0,apple iOS,Iphone 8+,$550 
Apple,unknow,Unknown,Unlocked,64,apple iOS,Iphone 8+,$485 
Apple,Grey,Unknown,Unlocked,128,apple iOS,XR,$500 
Apple,red,excellent,Unlocked,64,apple iOS,6 PLUS,$150 
Apple,black,like new,Unlocked,64,apple iOS,iphone 8,$350 
Apple,unknow,Unknown,Unlocked,64,apple iOS,Iphone 8+,$485 
Samsung,unknow,like new,At&t,256,android,Note 8,$350 
Apple,gray,excellent,At&t,256,apple iOS,iPhone 8 Plus,$200 
Apple,black,excellent,At&t,256,apple iOS,iPhone 8 Plus,$200 
Apple,black,good,At&t,128,apple iOS,iPhone X 64GB,$200 
Apple,black,excellent,At&t,64,apple iOS,iPhone X,$200 
Samsung,unknow,Unknown,Unlocked,0,android,Note 9,$850 
Samsung,unknow,like new,Unlocked,256,android,Note 8,$380 
Apple,black,like new,At&t,64,apple iOS,IPHONE 6,$190 
Apple,black,fair,Unlocked,64,apple iOS,6 PLUS,$155 
Apple,black,good,Unlocked,16,apple iOS,IPHONE 6S,$150 
Apple,silver,like new,At&t,128,apple iOS,7 Plus,$150 
Apple,white,like new,Verizon,64,apple iOS,IPHONE 6,$135 
Motorola,red,excellent,Unlocked,64,android,G7,$120 
Samsung,unknow,Unknown,Verizon,0,android,s9+,$550 
Samsung,black,like new,Unlocked,256,android,Note 8,$389 
Samsung,Grey,like new,Unlocked,512,android,Note 8,$389 
Samsung,black,Unknown,Verizon,256,android,Note 10 Plus,$1025
Apple,unknow,Unknown,Unlocked,0,apple iOS,XR,$450 
Apple,gray,like new,Unlocked,16,apple iOS,X4,$60 
Google,unknow,Unknown,Unlocked,0,android,pixel 3 xl,$700 
Apple,unknow,fair,Verizon,256,apple iOS,IPHONE 7,$450 
Apple,gold,like new,Unlocked,64,apple iOS,IPHONE 6,$150 
Apple,unknow,Unknown,Sprint,0,apple iOS,Iphone X,$700 
Apple,unknow,Unknown,Sprint,0,apple iOS,xs max,$700 
Apple,black,good,At&t,128,apple iOS,IPHONE 6,$190 
Apple,black,like new,At&t,128,apple iOS,IPHONE 7,$200 
Apple,red,Unknown,Unlocked,256,apple iOS,XR,$800 
Apple,gray,excellent,Unlocked,64,apple iOS,IPHONE 7,$235 
Samsung,unknow,excellent,Unlocked,64,android,Note 8,$350 
Apple,unknow,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$315 
Apple,silver,excellent,Unlocked,32,apple iOS,IPHONE 7,$215 
Apple,black,excellent,Unlocked,128,apple iOS,IPHONE 7,$245 
Apple,unknow,Unknown,Unlocked,128,apple iOS,XR,$650 
Apple,unknow,Unknown,T-Mobile,0,apple iOS,iPhone 8 Plus,$500 
Apple,unknow,like new,Sprint,256,apple iOS,iPhone 8 Plus,$400 
Samsung,unknow,like new,T-Mobile,128,android,Note 8,$340 
Apple,black,excellent,T-Mobile,32,apple iOS,IPHONE 7 PLUS,$340 
Apple,unknow,like new,Unlocked,256,apple iOS,Iphone X,$300 
Lg,red,excellent,Unlocked,32,android,Xperia F8332,$70 
Apple,silver,excellent,Unlocked,32,apple iOS,IPHONE 8,$150 
Samsung,unknow,like new,Unlocked,64,android,Note 8,$330 
Lg,purple,like new,T-Mobile,256,android,Galaxy S10,$200 
Samsung,unknow,Unknown,Sprint,0,android,Note 10 plus,$850 
Apple,unknow,like new,Verizon,64,apple iOS,iphone 8,$350 
Apple,unknow,Unknown,Verizon,0,apple iOS,Iphone X,$550 
Apple,unknow,Unknown,Unlocked,0,apple iOS,iPhone 8 Plus,$1000
Apple,unknow,like new,Unlocked,256,apple iOS,xs max,$1050
Apple,gray,like new,Unlocked,64,apple iOS,iPhone 7 plus,$135 
Samsung,unknow,like new,T-Mobile,256,android,Note 8,$350 
Apple,white,like new,T-Mobile,16,apple iOS,7..METRO PCS,$50 
Apple,blue,excellent,Unlocked,32,apple iOS,iPhone 7,$125 
Motorola,gold,like new,Unlocked,128,android,g6,$140 
Apple,unknow,like new,T-Mobile,256,apple iOS,iPhone 8 Plus,$400 
Samsung,black,excellent,Unlocked,32,android,J7 ,$70 
Apple,black,excellent,At&t,64,apple iOS,IPHONE 6,$150 
Apple,black,excellent,Unlocked,128,apple iOS,IPHONE 7 PLUS,$100 
Apple,rose,excellent,Unlocked,128,apple iOS,IPHONE 7 PLUS,$100 
Apple,gray,like new,At&t,32,apple iOS,IPHONE 6 PLUS,$100 
Samsung,unknow,Unknown,Unlocked,128,android,S9+,$500 
Apple,white,like new,Unlocked,64,apple iOS,IPHONE 7,$170 
Samsung,black,excellent,Unlocked,16,android,F2,$100 
Samsung,unknow,Unknown,Unlocked,0,android,Note 10 plus,$960 
Apple,blue,excellent,At&t,64,apple iOS,IPHONE 6S,$85 
Apple,unknow,Unknown,Unlocked,64,apple iOS,XS,$875 
Motorola,white,good,Unlocked,256,android,G7,$105 
Apple,unknow,Unknown,T-Mobile,64,apple iOS,Iphone X,$550 
Apple,unknow,like new,Unlocked,64,apple iOS,Iphone X,$300 
Apple,unknow,Unknown,Unlocked,256,apple iOS,Iphone X,$500 
Apple,rose,excellent,Unlocked,32,apple iOS,Pixel XL,$100 
Apple,white,good,T-Mobile,128,apple iOS,IPHONE 7,$180 
Apple,unknow,excellent,Unlocked,128,apple iOS,IPHONE 7,$350 
Apple,unknow,like new,Unlocked,256,apple iOS,IPHONE 7,$399 
Samsung,unknow,like new,Unlocked,64,android,s9,$375 
Samsung,unknow,fair,T-Mobile,0,android,s9+,$450 
Apple,black,excellent,Unlocked,256,apple iOS,IPHONE 7,$220 
Apple,red,excellent,T-Mobile,16,apple iOS,IPHONE 7,$80 
Apple,black,like new,At&t,64,apple iOS,XR,$600 
Apple,black,like new,Unlocked,64,apple iOS,XR,$640 
Apple,unknow,Unknown,Unlocked,64,apple iOS,XS,$899 
Apple,gold,like new,Unlocked,64,apple iOS,IPHONE 6,$135 
Apple,black,like new,Unlocked,64,apple iOS,6S A1688,$85 
Apple,white,like new,Unlocked,64,apple iOS,IPHONE 6S,$180 
Apple,black,like new,At&t,256,apple iOS,IPHONE 7 PLUS,$325 
Apple,black,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$345 
Apple,unknow,like new,Unlocked,32,apple iOS,IPHONE 7 PLUS,$300 
Apple,gray,like new,Unlocked,256,apple iOS,Iphone X,$500 
Samsung,unknow,like new,Unlocked,0,android,S10 plus,$420 
Samsung,rose,excellent,At&t,64,android,s7,$195 
Apple,gold,Unknown,Unlocked,64,apple iOS,xs max,$900 
Motorola,rose,like new,Unlocked,8,android,Ph-1,$90 
Lg,rose,good,Unlocked,32,android,G7,$100 
Samsung,unknow,fair,T-Mobile,0,android,S9+,$450 
Apple,gold,like new,T-Mobile,128,apple iOS,IPHONE 7 PLUS,$650 
Google,unknow,like new,Verizon,128,android,pixel 3 xl,$565 
Apple,unknow,Unknown,Unlocked,64,apple iOS,XR,$730 
Apple,unknow,like new,Unlocked,0,apple iOS,IPHONE 7 PLUS,$430 
Samsung,unknow,like new,Unlocked,512,android,note 10 plus,$1100
Apple,unknow,excellent,Sprint,64,apple iOS,XR,$400 
Apple,red,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$350 
Samsung,unknow,Unknown,Sprint,0,android,S10,$750 
Apple,unknow,Unknown,At&t,256,apple iOS,XS,$975 
Motorola,blue,like new,Sprint,16,android,Galaxy,$60 
Samsung,unknow,Unknown,T-Mobile,0,android,S10,$900 
Apple,silver,Unknown,Verizon,512,apple iOS,xs max,$950 
Apple,gray,like new,Unlocked,256,apple iOS,iPhone 8 Plus,$200 
Apple,unknow,like new,At&t,512,apple iOS,iphone 8,$375 
Apple,unknow,good,Unlocked,256,apple iOS,Iphone X,$700 
One Plus,blue,like new,T-Mobile,0,android,7 pro,$600 
Apple,black,like new,Unlocked,256,apple iOS,iPhone 8 Plus,$200 
Apple,rose,like new,At&t,32,apple iOS,IPHONE 7 PLUS,$100 
Apple,black,good,Unlocked,32,apple iOS,IPHONE 6,$110 
Apple,rose,like new,At&t,64,apple iOS,IPHONE 7 PLUS,$100 
Apple,gray,good,Unlocked,32,apple iOS,IPHONE 6S,$145 
Apple,white,excellent,At&t,16,apple iOS,IPHONE 7 PLUS,$100 
Apple,gray,like new,Unlocked,4,apple iOS,6 PLUS,$155 
Apple,black,Unknown,Unlocked,128,apple iOS,XR,$800 
Samsung,unknow,Unknown,Unlocked,0,android,S10,$600 
Apple,unknow,like new,Unlocked,128,apple iOS,iphone 8,$300 
Samsung,unknow,good,Unlocked,128,android,S9+,$399 
Lg,black,like new,Unlocked,64,android,DPH153,$40 
Apple,white,like new,Unlocked,128,apple iOS,Galaxy S6,$80 
Apple,unknow,Unknown,T-Mobile,64,apple iOS,Iphone X,$750 
Apple,unknow,Unknown,At&t,0,apple iOS,iPhone 8 Plus,$600 
Nokia,white,excellent,At&t,64,other,e51,$60 
Nokia,red,like new,Unlocked,4,other,e71,$40 
Nokia,red,good,Unlocked,2,other,3710,$40 
Apple,silver,good,Unlocked,64,apple iOS,IPHONE 6S,$190 
Google,unknow,Unknown,Unlocked,0,android,pixel 3 xl,$500 
Lg,black,like new,Unlocked,128,android,g8,$540 
Apple,black,like new,Unlocked,64,apple iOS,IPHONE 6S,$190 
Blackberry,gray,good,Unlocked,128,android,Galaxy S9+,$180 
Apple,unknow,like new,Verizon,64,apple iOS,XR,$350 
Apple,unknow,like new,T-Mobile,64,apple iOS,iPhone 8 Plus,$490 
Motorola,gray,excellent,Unlocked,32,android,6S,$75 
Apple,unknow,excellent,Unlocked,8,apple iOS,iPhone 8 Plus,$300 
Apple,red,like new,Unlocked,64,apple iOS,IPHONE 6,$155 
Apple,unknow,Unknown,Unlocked,256,apple iOS,IPHONE 7 PLUS,$475 
Apple,black,like new,Unlocked,128,apple iOS,IPHONE 7,$170 
Apple,rose,like new,Unlocked,64,apple iOS,6 PLUS,$160 
Apple,black,like new,Unlocked,32,apple iOS,IPHONE 6S,$190 
Apple,red,like new,Unlocked,128,apple iOS,IPHONE 7,$260 
Apple,gold,like new,Unlocked,64,apple iOS,Mi A2,$75 
Apple,gray,like new,Unlocked,64,apple iOS,XS,$700 
Apple,unknow,Unknown,T-Mobile,64,apple iOS,XR,$500 
Apple,gray,like new,At&t,128,apple iOS,IPHONE 7,$260 
Samsung,unknow,like new,At&t,0,android,Note 8,$400 
Motorola,black,excellent,T-Mobile,32,android,G7,$80 
Apple,unknow,excellent,Unlocked,256,apple iOS,xs max,$350 
Samsung,unknow,excellent,At&t,64,android,Note 8,$350 
Apple,unknow,Unknown,At&t,0,apple iOS,XR,$600 
Apple,red,excellent,Unlocked,64,apple iOS,IPHONE 7,$80 
Apple,unknow,like new,Unlocked,64,apple iOS,iPhone 8 Plus,$400 
Apple,gold,like new,Unlocked,256,apple iOS,IPHONE 7,$275 
Apple,red,like new,Unlocked,64,apple iOS,IPHONE 6,$129 
Samsung,gray,like new,Unlocked,64,android,S10 5G,$270 
Apple,rose,like new,At&t,64,apple iOS,IPHONE 7 PLUS,$100 
Apple,unknow,Unknown,Unlocked,512,apple iOS,XS,$950 
Apple,black,excellent,At&t,16,apple iOS,IPHONE 7 PLUS,$100 
Apple,silver,like new,Unlocked,32,apple iOS,IPHONE 7,$280 
Apple,black,excellent,At&t,128,apple iOS,IPHONE 7 PLUS,$100 
Apple,red,like new,Unlocked,128,apple iOS,IPHONE 6,$170 
Apple,silver,like new,Unlocked,32,apple iOS,IPHONE 6S,$150 
Apple,silver,like new,At&t,16,apple iOS,IPHONE 7 PLUS,$100 
Samsung,unknow,good,Unlocked,256,android,s9,$375 
Apple,black,excellent,Sprint,32,apple iOS,IPHONE 7,$200 
Samsung,unknow,like new,Unlocked,256,android,s9,$375 
Samsung,unknow,excellent,Unlocked,64,android,s9,$350 
Samsung,unknow,Unknown,Unlocked,0,android,Note 10 plus,$800 
Apple,unknow,Unknown,At&t,0,apple iOS,xs max,$800 
Apple,red,like new,Unlocked,64,apple iOS,IPHONE 6S,$150 
Apple,black,like new,Unlocked,256,apple iOS,iPhone 8 Plus,$250 
Apple,blue,Unknown,Unlocked,128,apple iOS,XR,$650 
Apple,black,like new,At&t,512,apple iOS,XR,$400 
Apple,unknow,good,Unlocked,0,apple iOS,xs max,$1000
Lg,red,good,Unlocked,64,android,Galaxy s7,$60 
Apple,black,like new,T-Mobile,64,apple iOS,IPHONE 7,$200 
Apple,unknow,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$300 
Lg,red,excellent,Unlocked,64,android,7 Plus,$140 
Apple,black,fair,Sprint,64,apple iOS,IPHONE 6S,$200 
Apple,gray,like new,Verizon,32,apple iOS,IPHONE 6,$100 
Apple,unknow,Unknown,T-Mobile,0,apple iOS,iPhone 8 Plus,$500 
Motorola,gray,excellent,Unlocked,32,android,e51,$75 
Apple,unknow,excellent,T-Mobile,256,apple iOS,XR,$400 
Apple,black,like new,Unlocked,256,apple iOS,IPHONE 6,$170 
Alcatel,red,like new,Unlocked,64,android,Moto G XT1028,$40 
Samsung,gray,excellent,At&t,16,android,5,$100 
Samsung,purple,like new,Unlocked,64,android,s9,$360 
Apple,gray,like new,Unlocked,64,apple iOS,IPHONE 6,$129 
Apple,rose,good,Unlocked,64,apple iOS,IPHONE 6,$99 
Apple,unknow,like new,Unlocked,32,apple iOS,5s,$450 
Apple,unknow,excellent,Unlocked,16,apple iOS,5c,$700 
Apple,black,excellent,Unlocked,32,apple iOS,IPHONE 6S,$129 
Apple,gold,Unknown,At&t,256,apple iOS,xs max,$500 
Samsung,unknow,Unknown,Unlocked,0,android,S10 plus,$600 
Apple,silver,like new,Unlocked,128,apple iOS,iPhone 7 Plus,$150 
Samsung,unknow,like new,Unlocked,256,android,s9,$350 
Apple,unknow,Unknown,T-Mobile,0,apple iOS,XS,$850 
Apple,gray,good,At&t,32,apple iOS,IPHONE 6,$140 
Apple,unknow,like new,Unlocked,64,apple iOS,xs max,$850 
Samsung,unknow,excellent,Unlocked,64,android,S9+,$390 
Apple,red,like new,Unlocked,0,apple iOS,XR,$700 
Apple,gold,excellent,Unlocked,64,apple iOS,IPHONE 6S,$250 
Apple,rose,like new,Unlocked,64,apple iOS,iphone 8,$150 
Google,gray,like new,T-Mobile,64,android,pixel 3,$275 
Samsung,gold,good,T-Mobile,128,android,pixel,$120 
Apple,rose,like new,At&t,64,apple iOS,IPHONE 7,$230 
Apple,gray,Unknown,At&t,64,apple iOS,Iphone X,$520 
Apple,unknow,like new,Sprint,512,apple iOS,Iphone X,$400 
Apple,unknow,like new,Unlocked,64,apple iOS,xs max,$650 
Xiaomi,black,excellent,Unlocked,32,android,7 plus,$150 
Samsung,unknow,like new,At&t,64,android,Note 8,$350 
Samsung,unknow,like new,T-Mobile,256,android,Note 8,$300 
Lg,rose,good,Unlocked,16,android,Galaxy S7,$100 
Apple,rose,excellent,Unlocked,32,apple iOS,IPHONE 7,$300 
Lg,black,like new,Unlocked,64,android,J3,$65 
Blackberry,gold,like new,Verizon,32,android,Moto G6,$60 
Google,unknow,Unknown,Verizon,128,android,pixel 3 xl,$565 
One Plus,black,like new,Unlocked,64,android,6s plus,$100 
Blackberry,black,excellent,Sprint,256,android,key 1,$350 
Apple,black,excellent,Unlocked,256,apple iOS,6 PLUS,$200 
Apple,white,excellent,Unlocked,64,apple iOS,IPHONE 6S,$180 
Samsung,unknow,like new,Verizon,256,android,Note 10,$900 
Apple,black,excellent,At&t,16,apple iOS,iphone 3,$85 
Apple,unknow,like new,At&t,64,apple iOS,xs max,$650 
Apple,unknow,Unknown,Unlocked,0,apple iOS,Iphone X,$700 
Apple,unknow,Unknown,Unlocked,64,apple iOS,XR,$500 
Apple,unknow,Unknown,Verizon,256,apple iOS,IPHONE 7 PLUS,$600 
Apple,black,good,Unlocked,128,apple iOS,IPHONE 6S,$180 
Apple,gray,like new,Unlocked,64,apple iOS,IPHONE 6S,$190 
Apple,gold,like new,Unlocked,32,apple iOS,IPHONE 6,$275 
Apple,gray,good,Unlocked,256,apple iOS,IPHONE 6S,$180 
Apple,black,like new,Unlocked,256,apple iOS,IPHONE 6,$250 
Apple,unknow,Unknown,Unlocked,256,apple iOS,iPhone 8 Plus,$525 
Apple,unknow,like new,Unlocked,32,apple iOS,IPHONE 7 PLUS,$310 
Apple,blue,excellent,At&t,32,apple iOS,IPHONE 7 PLUS,$100 
Samsung,unknow,like new,Unlocked,256,android,S9+,$380 
Apple,red,excellent,At&t,32,apple iOS,IPHONE 7 PLUS,$100 
Apple,gray,excellent,Verizon,16,apple iOS,IPHONE 6,$130 
Apple,white,like new,Unlocked,32,apple iOS,IPHONE 7,$240 
Apple,unknow,Unknown,At&t,0,apple iOS,xs max,$900 
Apple,unknow,Unknown,At&t,0,apple iOS,xs max,$900 
Samsung,red,good,Unlocked,32,android,Pixel 2,$100 
Apple,blue,excellent,Unlocked,32,apple iOS,Iphone X,$100 
Apple,unknow,Unknown,At&t,0,apple iOS,xs max,$900 
Apple,Grey,like new,Verizon,256,apple iOS,xs max,$1000 
Samsung,unknow,excellent,Unlocked,128,android,S9+,$399 
Apple,silver,Unknown,Unlocked,0,apple iOS,XR,$1000 
Apple,unknow,Unknown,At&t,0,apple iOS,xs max,$650 
Samsung,unknow,like new,T-Mobile,0,android,Note 9,$500 
Apple,white,good,Unlocked,64,apple iOS,6 16 GB,$69 
Samsung,unknow,Unknown,Unlocked,0,android,Note 10,$650 
Apple,unknow,Unknown,Unlocked,256,apple iOS,XR,$450 
Samsung,gold,like new,Unlocked,256,android,s8,$250 
Apple,gold,good,Unlocked,64,apple iOS,IPHONE 6S,$180 
Apple,silver,like new,Unlocked,16,apple iOS,x,$100 
Lg,white,like new,Unlocked,16,android,Revvl plus,$60 
Samsung,black,excellent,T-Mobile,64,android,GALAXY S8,$130 
Samsung,unknow,like new,T-Mobile,256,android,Note 8,$350 
Apple,black,like new,Unlocked,128,apple iOS,IPHONE 6S,$400 
Apple,white,like new,Unlocked,32,apple iOS,IPHONE 6,$40 
Apple,black,like new,Unlocked,64,apple iOS,IPHONE 6S,$180 
Samsung,unknow,Unknown,Unlocked,0,android,S10 plus,$680 
Samsung,gold,excellent,T-Mobile,256,android,9+,$250 
Apple,unknow,like new,Verizon,64,apple iOS,iphone 8,$390 
Samsung,black,Unknown,Unlocked,512,android,S10,$585 
Lg,rose,like new,At&t,32,android,g2,$100 
Lg,black,like new,T-Mobile,128,android,g8,$360 
Apple,black,Unknown,Unlocked,256,apple iOS,Iphone X,$500 
Apple,unknow,Unknown,Unlocked,256,apple iOS,Iphone X,$500 
Apple,gold,like new,Unlocked,64,apple iOS,IPHONE 6S,$250 
Apple,blue,excellent,Unlocked,64,apple iOS,IPHONE 6,$160 
Apple,rose,like new,Unlocked,64,apple iOS,S5 / SM-G900 Unlocked,$79 
Apple,unknow,like new,At&t,0,apple iOS,s9,$1000 
Samsung,rose,excellent,Unlocked,64,android,J7 ,$100 
Apple,black,like new,Unlocked,128,apple iOS,iphone 8,$200 
Apple,white,excellent,Unlocked,64,apple iOS,iphone 8,$200 
Samsung,gray,like new,Unlocked,32,android,S10,$150 
Apple,unknow,Unknown,Unlocked,64,apple iOS,XR,$500 
Apple,black,like new,T-Mobile,128,apple iOS,IPHONE 7 PLUS,$325 
Samsung,red,excellent,Unlocked,128,android,S8+,$150 
Lg,gold,like new,T-Mobile,32,android,stylo 4,$70 
Apple,unknow,Unknown,At&t,64,apple iOS,xs max,$850 
Apple,unknow,Unknown,Unlocked,64,apple iOS,xs max,$850 
Apple,unknow,Unknown,Unlocked,64,apple iOS,xs max,$850 
Apple,unknow,Unknown,T-Mobile,0,apple iOS,XR,$600 
Apple,gold,good,Unlocked,64,apple iOS,IPHONE 6,$125 
Apple,black,excellent,Unlocked,256,apple iOS,IPHONE 7 PLUS,$280 
Apple,unknow,Unknown,Unlocked,64,apple iOS,Iphone X,$700 
Motorola,black,like new,Unlocked,32,android,Onyx,$45 
Samsung,unknow,Unknown,At&t,0,android,S8+,$500 
Samsung,unknow,Unknown,At&t,0,android,S8+,$500 
Apple,red,like new,Unlocked,128,apple iOS,IPHONE 6S,$200 
Apple,black,excellent,T-Mobile,32,apple iOS,5,$35 
Apple,unknow,like new,Unlocked,256,apple iOS,Iphone X,$550 
Apple,white,like new,Unlocked,64,apple iOS,IPHONE 6S,$170 
Samsung,red,like new,Unlocked,32,android,Mate 20 lite,$100 
Apple,black,excellent,Sprint,32,apple iOS,IPHONE 7,$199 
Apple,black,excellent,Unlocked,256,apple iOS,IPHONE 7 PLUS,$250 
