brand,color,condition,contract,link,memory,mobOs,model,price,title
Jitterbug,,like new,verizon,https://sfbay.craigslist.org/nby/mob/d/novato-jitterbugsmart2-cellphone/6973915132.html,,android,Smart2,$75,JitterbugSmart2  cellphone
Sony Ericsson,,excellent,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-sony-ericsson-t600-mobile-phone/6961047046.html,,other,T600,$75,Sony Ericsson T600 mobile phone
Apple,gray,like new,att,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone8-64gb-space-gray/6962162503.html,64gb,apple iOS,iPhone 8,$400,iPhone8 64Gb Space Gray under warranty
apple,gold,good,unlocked,https://sfbay.craigslist.org/pen/mob/d/south-san-francisco-apple-iwatch-series/6975980891.html,,apple iOS,,$350,Apple iWatch Series 4 Gold
apple,gray,like new,unlocked,https://sfbay.craigslist.org/pen/mob/d/south-san-francisco-apple-iwatch-series/6975978555.html,,apple iOS,,$450,Apple iWatch Series 4 Space Gray
samsung,gold,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-unlocked-samsung-galaxy/6975974684.html,,android,,$200,"unlocked samsung galaxy S7 , gold color"
Samsung,,,att,https://sfbay.craigslist.org/eby/mob/d/fremont-samsung-wireless-charger/6971550667.html,,other,,$20,**SAMSUNG Wireless Charger Charging Pad Fast Charge Qi**
apple,,new,verizon,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-new-iphone-att/6975974507.html,,apple iOS,x,$600,NEW IPHONE X (AT&T)
Apple,,like new,att,https://sfbay.craigslist.org/pen/mob/d/mountain-view-unlocked-iphone-6s-plus/6975790989.html,128gb,apple iOS,iphone 6s plus,$290,"(Unlocked) iphone 6s Plus, 128Gb"
apple,silver,,unlocked,https://sfbay.craigslist.org/sby/mob/d/hayward-iphone-6-64-gb-unlocked/6975829503.html,64 gb,apple iOS,,$135,iPhone 6 64 gb unlocked
apple,,excellent,att,https://sfbay.craigslist.org/sby/mob/d/mountain-view-iphone-6s-att-128gb/6975809785.html,128gb,apple iOS,iphone 6s,$180,"iphone 6s, At&t, 128Gb"
apple,,,att,https://sfbay.craigslist.org/sby/mod/d/san-jose-cell-phone-samsung-iphone/6975831681.html,,apple iOS,,$30,"CELL PHONE-SAMSUNG-IPHONE 6,7,8,PLUS-X, IPAD-UNLOCK-COMPUTER REPAIR"
apple,,,unlocked,https://sfbay.craigslist.org/sby/mob/d/union-city-iphone-6-16-gb-unlocked/6975831051.html,16 gb,apple iOS,,$120,iPhone 6 16 gb unlocked
apple,black,like new,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone/6975838751.html,256 gb,apple iOS,,$450,iphone x
apple,rose,new,tmobile,https://sfbay.craigslist.org/sfc/mod/d/san-jose-brand-new-seal-iphone-xs-max/6975845641.html,256gb,apple iOS,,$750,BRAND NEW SEAL IPHONE Xs Max 256GB WORKS PN ATT CRICKET H20
apple,rose,new,tmobile,https://sfbay.craigslist.org/sby/mod/d/san-jose-brand-new-seal-iphone-xs-max/6975839624.html,64gb,apple iOS,,$650,BRAND NEW SEAL IPHONE Xs Max 64GB WORKS ON ATT CRICKET H20
iPhone XS Max,,excellent,unlocked,https://sfbay.craigslist.org/pen/mob/d/san-mateo-iphone-xs-max-256gb/6975777461.html,256gb,apple iOS,,$950,iPhone XS Max 256GB
apple,black,like new,verizon,https://sfbay.craigslist.org/eby/mob/d/dublin-iphone-256gb-black-verizon/6975850371.html,256gb,apple iOS,,$625,iPhone X - 256gb (Black) - Verizon
,,,att,https://sfbay.craigslist.org/pen/mob/d/south-san-francisco-htc-with-anger-birds/6961211239.html,,other,,$79,HTC    with anger birds
Samsung,black,new,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-brand-new-unlocked-samsung-s10/6973167774.html,128gb,android,S10+,$750,Brand New unlocked Samsung S10+ 128GB (black color)
Na,white,new,unlocked,https://sfbay.craigslist.org/eby/mob/d/hayward-apple-airpods-cover/6975852066.html,,other,Silicone AirPods case,$13,Apple airpods cover
apple,white,,att,https://sfbay.craigslist.org/eby/mob/d/fairfield-iphone-64-gb-att-400/6973895702.html,64 gb,apple iOS,,$400,Iphone X 64 gb ATT $400
samsung,blue,,tmobile,https://sfbay.craigslist.org/pen/mob/d/daly-city-samsung-s10e-factory-unlocked/6975829028.html,128gb,android,,$400,Samsung S10e / Factory Unlocked / 128Gb / Blue / Like New
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-unlocked-iphone-6s-plus/6969396346.html,16gb,apple iOS,,$240,Unlocked iPhone 6S Plus 16gb
apple,rose,,sprint,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-excellent-sprint-iphone/6969402646.html,16gb,apple iOS,,$150,excellent Sprint iPhone 6S 16gb Rose
samsung,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-unlocked-samsung-s10/6973770481.html,128gb,android,,$590,"unlocked Samsung S10 excellent 128gb, any company"
apple,rose,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-nice-unlocked-iphone-6s/6973771600.html,64gb,apple iOS,,$220,Nice unlocked iphone 6s 64gb Rose
Samsung,,new,unlocked,https://sfbay.craigslist.org/nby/mob/d/napa-brand-new-in-box-samsung-a20/6975785019.html,,android,A20,$140,Brand new in box Samsung A20
samsung,black,like new,unlocked,https://sfbay.craigslist.org/sby/mob/d/san-jose-like-new-factory-unlocked/6974246305.html,,android,,$389,LIKE-NEW FACTORY UNLOCKED SAMSUNG GALAXY S9 BLACK
Apple,gray,like new,unlocked,https://sfbay.craigslist.org/sby/mob/d/santa-clara-iphone-8-space-grey-64g/6972278943.html,,apple iOS,Iphone 8,$380,IPhone 8 Space Grey 64G Factory Unlocked Like New
Samsung,black,new,tmobile,https://sfbay.craigslist.org/nby/mob/d/petaluma-new-in-box-samsung-galaxy-a10/6972045532.html,32gb,android,Galaxy A10,$250,New in Box Samsung Galaxy A10 32GB Black Unlocked!! CLean IMEI!!
apple,,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/hayward-iphone-6-64gb/6970785812.html,64gb,apple iOS,,$190,iphone 6 64gb
Samsung,silver,good,verizon,https://sfbay.craigslist.org/nby/mob/d/petaluma-samsung-galaxy-j7-silver/6967964182.html,16gb,android,Galaxy J7,$160,Samsung Galaxy J7 Silver Verizon 16GB!! CLean IMEI!!
HMDX,,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/hmdx-hx-b312-flow-bedside-audio-charges/6972638678.html,,apple iOS,HX-B312,$40,"HMDX HX-B312 Flow Bedside Audio, Charges and plays iPhone, iPod, iPad"
apple,,like new,unlocked,https://sfbay.craigslist.org/eby/mob/d/union-city-iphone-6-unlocked-64/6957913443.html,,apple iOS,,$135,iPhone 6 unlocked 64
Apple,silver,excellent,unlocked,https://sfbay.craigslist.org/scz/mob/d/santa-cruz-iphone-xs-64gb-applecare/6975769140.html,64gb,apple iOS,A1920,$700,iPhone XS 64GB - Applecare+
Verizon,red,good,verizon,https://sfbay.craigslist.org/eby/mob/d/oakland-2015-gizmo-gadget/6975740212.html,,android,Gizmo Gadget,$40,2015 Gizmo Gadget
Apple,gray,like new,unlocked,https://sfbay.craigslist.org/eby/mob/d/union-city-silver-grey-iphone-6-64gb/6966492648.html,64gb,apple iOS,Apple,$135,Silver/grey iPhone 6 64GB unlocked
apple,gray,like new,unlocked,https://sfbay.craigslist.org/pen/mob/d/union-city-iphone-6-64gb-unlocked-like/6966083504.html,64gb,apple iOS,,$135,iPhone 6 64gb unlocked like new
Apple,,,unlocked,https://sfbay.craigslist.org/eby/mob/d/union-city-iphone-se/6970792727.html,,apple iOS,,$90,iPhone SE
apple,silver,,att,https://sfbay.craigslist.org/sby/mob/d/union-city-iphone-6-unlocked-64gb/6962251703.html,64gb,apple iOS,,$135,iPhone 6 unlocked 64GB
apple,gray,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/union-city-iphone-6-unlocked-64-gb/6962524165.html,64 gb,apple iOS,,$135,iPhone 6 unlocked 64 GB
Apple,silver,,att,https://sfbay.craigslist.org/sfc/mob/d/dearing-iphone-6s-128gb/6975669162.html,128gb,apple iOS,iPhone 6S,$200,iPhone 6s - 128GB
samsung,purple,,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-purple-tmobile-sim-unlocked/6975665786.html,64gb,android,,$360,Purple tmobile sim UNLOCKED Galaxy s9 64gb
Samsung,,like new,unlocked,https://sfbay.craigslist.org/eby/mob/d/fremont-65gb-unlocked-samsung-galaxy-s8/6975683091.html,65gb,android,(SM-G950FD),$300,65GB Unlocked Samsung galaxy S8  Dual Sim. (SM-G950FD)
Samsung,blue,new,att,https://sfbay.craigslist.org/eby/mob/d/walnut-creek-samsung-galaxy-note9-blue/6973740139.html,128gb,android,Note9,$465,Samsung Galaxy Note9 Blue 128GB
apple,,,tmobile,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-7-32gb-factory/6974131842.html,32gb,apple iOS,,$325,"iPhone 7 32gb factory unlocked, world phone"
samsung,purple,,unlocked,https://sfbay.craigslist.org/sby/mob/d/san-jose-galaxy-note-9-128gb-purple/6975627778.html,128gb,android,,$480,Galaxy Note 9 128GB purple (Unlocked)
Apple,gray,new,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-xs-max-64gb-unlocked/6973602796.html,64gb,apple iOS,iPhone X Max,$699,iPhone XS MAX 64GB unlocked sim card to any carrier!
Apple,rose,excellent,tmobile,https://sfbay.craigslist.org/nby/mob/d/iphone-8-64gb-mobile-rosegold-clean-imei/6972043056.html,64gb,apple iOS,iPhone 8+,$450,iPhone 8+ 64GB T-Mobile RoseGold! Clean IMEI!
Samsung,black,good,verizon,https://sfbay.craigslist.org/nby/mob/d/petaluma-samsung-galaxy-s7-edge-black/6972043260.html,32gb,android,Galaxy S7 edge,$299,Samsung Galaxy S7 EDGE Black Verizon 32GB!! CLean IMEI!!
Apple,silver,excellent,tmobile,https://sfbay.craigslist.org/nby/mob/d/iphone-6s-64gb-silver-cdma-unlocked/6972046783.html,64gb,apple iOS,iPhone 6S Plus,$350,iPhone 6S+ 64GB Silver CDMA unlocked! Clean IMEI!
LG,,new,verizon,https://sfbay.craigslist.org/nby/mob/d/lg-optimus-zone-2-4gb-brand-new-in-box/6967975370.html,4gb,android,Optimus,$49,LG Optimus Zone 2! 4GB Brand New in box! Verizon
Apple,silver,excellent,tmobile,https://sfbay.craigslist.org/nby/mob/d/iphone-6s-64gb-silver-unlocked-clean/6971632207.html,64gb,apple iOS,iPhone 6S,$300,iPhone 6S 64GB Silver Unlocked! Clean IMEI!
Samsung,gray,like new,tmobile,https://sfbay.craigslist.org/eby/mob/d/like-new-unlocked-samsung-note-8-64gb/6966631740.html,64gb,android,Note 8,$420,Like-new Unlocked Samsung Note 8 64GB in grey from T-mobile
apple,black,new,tmobile,https://sfbay.craigslist.org/sfc/mod/d/san-jose-remove-icloud-unlock-iphone-xs/6975708766.html,16gb,apple iOS,,$60,REMOVE ICLOUD UNLOCK IPHONE X Xs Max REMOVE GOOGLE ACCT. FIX BLACKLIST
Samsung,,new,tmobile,https://sfbay.craigslist.org/pen/mob/d/samsung-s9-brand-new-in-box/6975705144.html,,android,S9,$500,Samsung S9 Brand New in Box
apple,black,new,tmobile,https://sfbay.craigslist.org/sby/mod/d/san-jose-unlock-iphone-xr-xs-max/6975714347.html,16gb,apple iOS,,$60,UNLOCK IPHONE X Xr Xs Max SAMSUNG NOTE 8 9 SPRINT ATT TMOBILE XFINITY
Apple,,new,unlocked,https://sfbay.craigslist.org/sfc/mod/d/south-san-francisco-fix-iphone-5s-se-6/6975712153.html,,apple iOS,iPhone,$29,"Fix iPhone X, 5S, SE, 6, 6 Plus, 6S, 6S +, 7, 7+, 8, 8+, Screen Repai"
Apple,,fair,unlocked,https://sfbay.craigslist.org/eby/mob/d/san-leandro-iphone-5s/6975710847.html,16gb,apple iOS,A1453,$40,iphone 5s
samsung,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-nice-unlocked-samsung/6960818874.html,,android,,$380,"Nice unlocked Samsung Galaxy S9, any sim"
samsung,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-unlocked-samsung-galaxy/6965085831.html,,android,,$240,Unlocked Samsung Galaxy S7 Edge for any company
samsung,,,att,https://sfbay.craigslist.org/nby/mob/d/petaluma-galaxy-s7-edge-unlocked/6975712627.html,,android,,$90,Galaxy s7 edge. Unlocked.
apple,gray,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-6-plus-128gb/6955891649.html,128gb,apple iOS,,$260,iPhone 6 Plus 128gb unlocked grey
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-unlocked-samsung-galalxy/6975713873.html,,apple iOS,,$300,unlocked samsung galalxy s8
Apple,,,unlocked,https://sfbay.craigslist.org/sfc/mod/d/san-francisco-fix-iphone-5s-se-6-6-plus/6975718632.html,,apple iOS,iPhone,$29,"Fix iPhone X, 5S, SE, 6, 6 Plus, 6S, 6S +, 7, 7+, 8, 8+, Screen Repai"
apple,black,,unlocked,https://sfbay.craigslist.org/sby/mob/d/cupertino-iphone-xs-max-unlocked-64gb/6975695404.html,64gb,apple iOS,,$699,iPhone XS Max Unlocked 64Gb
Samsung,,excellent,unlocked,https://sfbay.craigslist.org/scz/mob/d/aptos-samsung-galaxy-s10e-unlocked/6975730338.html,,android,Galaxy,$400,Samsung Galaxy S10e Unlocked
samsung,,excellent,tmobile,https://sfbay.craigslist.org/sfc/mod/d/lots-of-unlocked-samsung-galaxy-s5-s6/6975735874.html,64gb,android,,$150,"LOTS OF UNLOCKED SAMSUNG Galaxy S5 S6, S7, S7 Edge, S8 S9 NOTE 4 5 8 9"
Iphone,rose,like new,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-se-32gb-rose-gold/6970000114.html,32gb,apple iOS,7SE 32GB,$180,iPhone SE 32GB - Rose Gold (Unlocked)
LG,,like new,tmobile,https://sfbay.craigslist.org/eby/mob/d/hayward-lg-k20-plus-in-orignal-box/6975735090.html,,android,K20 PLUS,$100,LG K20 PLUS IN ORIGNAL BOX
apple,,excellent,tmobile,https://sfbay.craigslist.org/sfc/mod/d/unlocked-iphone-7-32gb-gb-plus-370/6975735265.html,32gb,apple iOS,,$260,"UNLOCKED iPhone 7 32gb $260, 128gb $290, 7 PLUS $370, IPHONE X"
apple,,excellent,tmobile,https://sfbay.craigslist.org/sfc/mod/d/lots-of-unlocked-iphone-6-16gb-gb-gb-220/6975733059.html,16gb,apple iOS,,$180,Lots of UNLOCKED iPhone 6 16gb $180 64gb $200 128gb $220
Apple,silver,good,tmobile,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-5s-unlocked-for/6975725039.html,16 gb,apple iOS,iPhone 6+,$80,"iPhone 5s, unlocked for any service"
apple,,excellent,tmobile,https://sfbay.craigslist.org/sfc/mod/d/lots-of-iphones-5s-6-plus-7-8-t-mobile/6975734654.html,16gb,apple iOS,,$140,"LOTS OF IPHONES 5S, 6, PLUS, 7, 8, X, T-MOBILE Metro Pcs ATT VERIZON"
,,,sprint,https://sfbay.craigslist.org/sfc/mob/d/tyro-2-sprint-htc-evo-4g-phones/6975646111.html,,android,,$40,2 sprint htc evo 4g phones
apple,,,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-7-plus-unlocked/6972467168.html,128gb,apple iOS,,$300,iPhone 7 Plus *Unlocked*
HTC,blue,new,att,https://sfbay.craigslist.org/sby/mob/d/santa-clara-htc-10-evo-unlocked/6967918331.html,3gb,android,,$280,HTC 10 Evo UNLOCKED
apple,red,,verizon,https://sfbay.craigslist.org/sby/mob/d/san-jose-apple-iphone-7-128gb-unlocked/6974138300.html,128gb,apple iOS,,$260,"Apple Iphone 7, 128gb, Unlocked smart cell phone-"
,white,,unlocked,https://sfbay.craigslist.org/sby/mob/d/san-jose-google-pixel-xl-32gb-unlocked/6965195855.html,32gb,android,,$165,Google Pixel XL 32GB Unlocked White Silver
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-apple-iphone-for-parts/6971762365.html,,apple iOS,,$350,APPLE IPHONE X FOR PARTS
samsung,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-excellent-condition/6975446040.html,,android,,$300,Excellent Condition Samsung Galaxy Note 8 Sprin / Unlocked
Apple,black,excellent,att,https://sfbay.craigslist.org/sby/mob/d/santa-clara-iphone-7-black-32g-att/6967466022.html,,apple iOS,Iphone 7,$200,IPhone 7 Black 32G AT&T Excellent condition
,black,,unlocked,https://sfbay.craigslist.org/sby/mob/d/san-jose-google-pixel-2-xl-64gb-black/6961894105.html,64gb,android,,$275,Google Pixel 2 XL 64GB Black Unlocked with Case Like New Condition
apple,silver,new,tmobile,https://sfbay.craigslist.org/eby/mob/d/pleasant-hill-iphone-64gb-unlocked/6975334980.html,64gb,apple iOS,,$680,iPhone X 64GB (Unlocked)
apple,,good,att,https://sfbay.craigslist.org/eby/mob/d/berkeley-apple-iphone-7-smart-battery/6975350877.html,,apple iOS,,$35,Apple iPhone 7 Smart Battery Case
APPLE,blue,like new,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-7-plus-att-128gb-black/6963475377.html,128gb,apple iOS,iPhone,$400,iPhone 7 Plus AT&T 128GB Black
APPLE,white,like new,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-7-plus-128-mobile-white/6963475412.html,128gb,apple iOS,iPhone,$400,iPhone 7 Plus 128 T-Mobile White
,,new,unlocked,https://sfbay.craigslist.org/eby/mob/d/oakland-lg-phone-unlocked-for-sale/6965333663.html,,other,,$40,******LG phone unlocked for sale **
Apple,,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/dublin-iphone-gb/6969143268.html,64gb,apple iOS,iPhone 6,$140,iPhone 6 - 64gb
samsung,white,like new,verizon,https://sfbay.craigslist.org/pen/mob/d/san-mateo-samsung-note-9-128gb-unlocked/6975354556.html,128gb,android,,$520,Samsung Note 9 128GB Unlocked Ocean Blue OBO
Apple,,fair,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-6-plus-256gb-unlocked/6971780552.html,256gb,apple iOS,A1522,$200,iPhone 6 Plus 256GB Unlocked T-Mobile
Samsung,black,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-samsung-galaxy-s10-plus/6973309329.html,128gb,android,Galaxy S10+,$700,Samsung Galaxy S10 Plus Factory Unlocked
,,new,unlocked,https://sfbay.craigslist.org/eby/mob/d/oakland-universal-cell-phone-holder/6971023171.html,,other,,$20,Universal Cell phone holder .....(fits most air vents)
,red,,unlocked,https://sfbay.craigslist.org/sby/mob/d/san-jose-electronics-repair-and-upgrade/6975365352.html,,android,,$45,Electronics repair and upgrade service
apple,,like new,sprint,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-excellent-condition/6975397653.html,,apple iOS,,$250,Excellent Condition Iphone 6 PLUS Sprint / Unlocked for GSM Carriers
Apple,,like new,att,https://sfbay.craigslist.org/pen/mob/d/san-mateo-iphone-xs-max-256gb-att/6975428375.html,256gb,apple iOS,XSMax,$990,iPhone XS Max 256gb ATT
Apple,black,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/vallejo-28gb-black-iphone-5/6975428065.html,28gb,apple iOS,iPhone 5,$40,28GB Black iPhone 5
samsung,blue,,unlocked,https://sfbay.craigslist.org/eby/mob/d/pleasanton-samsung-note-10-plus-brand/6975398498.html,256gb,android,,$950,Samsung Note 10 Plus - Brand new and factory unlocked
Apple,,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/iphone-6-16gb-unlocked/6973946048.html,16gb,apple iOS,iPhone 6,$120,iPhone 6 16GB Unlocked
apple,gray,,tmobile,https://sfbay.craigslist.org/sby/mob/d/campbell-fully-unlocked-flawless-iphone/6971095528.html,64gb,apple iOS,,$450,"Fully unlocked, flawless iphone 8 space grey"
Apple,,excellent,unlocked,https://sfbay.craigslist.org/eby/mob/d/san-lorenzo-iphone-6/6968032322.html,16gb,apple iOS,iPhone 6,$120,iPhone 6
Apple,rose,like new,unlocked,https://sfbay.craigslist.org/pen/mob/d/menlo-park-iphone-se-mint-like-new/6975441434.html,16gb,apple iOS,SE,$90,iPhone SE (mint/like new condition)
Apple,white,excellent,att,https://sfbay.craigslist.org/eby/mob/d/san-ramon-att-cricket-iphone-6s-64gb/6970366409.html,64gb,apple iOS,Iphone 6S 64GB A1633,$199,ATT Cricket iPhone 6S 64GB Silver/White pristine 98% battery capacity
Apple,,excellent,unlocked,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-7-128gb-factory/6971753397.html,128gb,apple iOS,iPhone 7 128gig,$200,"iPhone 7 128gb, factory unlocked, mint, with one small issue"
Apple,,good,sprint,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-xs-max-64gb-sprint/6973400782.html,64gb,apple iOS,iPhone xs max,$500,iPhone xs max 64GB( sprint)
apple,gray,excellent,att,https://sfbay.craigslist.org/eby/mob/d/castro-valley-apple-iphone-6s-32gb/6975473932.html,32gb,apple iOS,,$150,Apple iPhone 6s 32GB Space Gray (AT&T) - UNLOCKED
Apple,white,like new,unlocked,https://sfbay.craigslist.org/eby/mob/d/walnut-creek-iphone-5-empty-box/6971870348.html,16gb,apple iOS,5,$25,iPhone 5 Empty Box
apple,black,like new,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-gb-black-verizon/6974003605.html,64gb,apple iOS,,$530,"iPhone X 10 , 64GB , Black ,(Verizon) Factory Unlocked"
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-like-new-wireless-beatsx/6975500397.html,,apple iOS,,$50,LIKE NEW Wireless BeatsX Earphones with ALL Original Accessories
Mophie,,new,att,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-new-mophie-powerstation/6967268967.html,,apple iOS,Powerstation Plux XL,$69,NEW Mophie PowerStation Plus XL / 34 hours
Apple,,like new,unlocked,https://sfbay.craigslist.org/sby/mob/d/union-city-apple-iphone-gb/6975436919.html,32gb,apple iOS,iPhone 6,$130,Apple iPhone 6 - 32gb
Samsung,black,like new,tmobile,https://sfbay.craigslist.org/eby/mob/d/dublin-unlocked-samsung-galaxy-s8-plus/6975493763.html,64gb,android,s8 plus,$280,"Unlocked Samsung Galaxy s8 Plus, Black, Mint Condition"
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-like-new-wireless-beatsx/6971908675.html,,apple iOS,,$50,LIKE NEW Wireless BeatsX Earphones with ALL Original Accessories
apple,,like new,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-like-new-wireless-beatsx/6967828164.html,,apple iOS,,$50,LIKE NEW Wireless BeatsX Earphones with ALL Original Accessories
Apple,black,excellent,verizon,https://sfbay.craigslist.org/eby/mob/d/oakland-apple-iphone-4s-32gb-a1387/6974015418.html,32gb,apple iOS,4s,$100,Apple iPhone 4s - 32GB -A1387 Black (Unlocked)
apple,gold,like new,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-xs-max-64gb-gold-color/6974014424.html,64gb,apple iOS,,$750,"iPhone XS Max ,64GB ,Gold color , Metro PC,T-Mobile ,like new conditi"
iPhone XS,,new,att,https://sfbay.craigslist.org/eby/mob/d/danville-iphone-xs-64-gb-perfect-only-5/6969359673.html,64 gb,apple iOS,XS,$799,"iPhone XS 64 GB -- perfect, only 5 mo's old"
Apple,black,excellent,unlocked,https://sfbay.craigslist.org/sby/mob/d/santa-clara-iphone-7-black-128g-factory/6969655446.html,,apple iOS,Iphone 7,$300,IPhone 7 Black 128G Factory Unlocked Excellent condition
apple,gold,new,tmobile,https://sfbay.craigslist.org/eby/mob/d/union-city-iphone-6s-gold-128g-unlocked/6971270029.html,,apple iOS,,$200,Iphone 6S Gold 128G Unlocked ATT-Tmobile-MetPCS-WorldPhone
,,,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-platinum-tmobile-metro-pcs-lg/6961094513.html,64gb,android,,$180,Platinum tmobile/Metro pcs LG v20 64gb
APPLE,white,excellent,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-6-64gb-att-white/6968413355.html,64gb,apple iOS,iPhone,$200,iPhone 6 64GB AT&T White
samsung,gold,,tmobile,https://sfbay.craigslist.org/sby/mob/d/san-jose-gold-tmobile-sim-unlocked/6963859159.html,32gb,android,,$199,Gold tmobile sim UNLOCKED Galaxy Note 5 32gb
apple,,,unlocked,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-like-new-wireless-beatsx/6970407259.html,,apple iOS,,$50,LIKE NEW Wireless BeatsX Earphones with ALL Original Accessories
Samsung,,new,att,https://sfbay.craigslist.org/nby/mob/d/windsor-new-condition-factory-reset-att/6975533534.html,32gb,android,S7,$200,NEW CONDITION FACTORY RESET AT&T 32GB SAMSUNG GALAXY S7
ATT,,like new,att,https://sfbay.craigslist.org/eby/mob/d/oakland-att-3g-microtower-booster-when/6971024194.html,,other,,$50,ATT 3G Microtower (Booster when there is NO cell signal
samsung,,,att,https://sfbay.craigslist.org/sby/mob/d/san-jose-wholesale-lot-of-10-samsung/6968079952.html,32gb,android,,$180,Wholesale Lot of 10 Samsung Galaxy s7 active 32gb waterproof 4000mah b
samsung,white,,verizon,https://sfbay.craigslist.org/sby/mob/d/san-jose-white-sim-unlocked-galaxy-note/6963860171.html,32gb,android,,$199,White Sim unlocked galaxy note 5 32gb
