brand,color,condition,contract,date,link,memory,mobOs,model,price,title
apple,gold,like new,att,2019-09-27 21:32,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xs-unlocked-gold-256gb/6988129019.html,256gb,apple iOS,XS,$800,iphone xs unlocked - gold 256gb (price negotiable)
apple,black,,att,2019-09-27 21:28,https://newyork.craigslist.org/que/mob/d/saint-albans-iphone-7/6984530541.html,,apple iOS,,$250,iphone 7
apple,gold,like new,att,2019-09-27 21:34,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xs-unlocked-gold-256gb/6988134444.html,256gb,apple iOS,XS,$800,iphone xs unlocked - gold 256gb (price negotiable)
samsung,black,excellent,unlocked,2019-09-27 22:45,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-galaxy-s8-sm-g950u1-64/6967932068.html,64 gb,android,Galaxy S8,$269,"| samsung galaxy s8 sm-g950u1 | 64 gb | 5.8"" | unlocked | great shape|"
none,,,unlocked,2019-09-27 23:03,https://newyork.craigslist.org/mnh/mob/d/new-york-city-safelink-smart-phone/6988172486.html,,android,,$45,safelink smart phone brand new
apple,,like new,unlocked,2019-09-28 02:57,https://newyork.craigslist.org/stn/mob/d/brooklyn-iphone-xs-max-64gb/6988219368.html,64gb,apple iOS,Iphone xs max 64gb,$800,iphone xs max 64gb
apple,,,unlocked,2019-09-28 01:18,https://newyork.craigslist.org/mnh/mob/d/bronx-apple-iphone-11-pro-max-512-new/6988205400.html,,apple iOS,,$800,apple iphone 11 pro max 512 (new) original box
samsung,,new,sprint,2019-09-28 01:21,https://newyork.craigslist.org/brx/mob/d/bronx-new-sprint-samsung-galaxy-note-10/6988205900.html,,android,Galaxy Note 10 Plus,$840,new sprint samsung galaxy note 10 plus
none,,,unlocked,2019-09-27 23:03,https://newyork.craigslist.org/mnh/mob/d/new-york-city-safelink-smart-phone/6988172590.html,,android,,$45,safelink smart phone brand new
apple,,new,unlocked,2019-09-28 01:58,https://newyork.craigslist.org/brx/mob/d/astoria-iphone-11-pro-max/6988211933.html,,apple iOS,,$980,iphone 11 pro max
apple,,like new,unlocked,2019-09-28 07:22,https://newyork.craigslist.org/stn/mob/d/staten-island-iphone-6-plus/6975682201.html,1 gb,apple iOS,A1522,$165,iphone 6 plus
apple,black,excellent,unlocked,2019-09-28 08:01,https://newyork.craigslist.org/lgi/mob/d/apple-iphone-7-plus-unlocked-black-340/6986754591.html,,apple iOS,,$340,apple iphone 7 plus unlocked  black $340
apple,,,unlocked,2019-09-28 03:33,https://newyork.craigslist.org/mnh/mob/d/new-york-iphone-xr-for-parts-only/6988222993.html,,apple iOS,,$160,iphone xr for parts only
apple,gold,good,unlocked,2019-09-28 08:01,https://newyork.craigslist.org/lgi/mob/d/apple-iphone-8-unlocked-gold-330/6986755633.html,,apple iOS,,$330,apple iphone 8 unlocked  gold $330
apple,black,excellent,unlocked,2019-09-28 08:01,https://newyork.craigslist.org/lgi/mob/d/apple-iphone-7-unlocked-128gb-black-260/6968437363.html,128gb,apple iOS,,$260,apple iphone 7  unlocked 128gb black $260
apple,red,,att,2019-09-28 08:04,https://newyork.craigslist.org/brx/mob/d/bronx-dont-missed-great-opportunity-to/6988236289.html,,apple iOS,,$45,don't missed a great opportunity to getting your product fix
apple,black,like new,att,2019-09-28 07:12,https://newyork.craigslist.org/mnh/mob/d/new-york-city-iphone-7-128gb-matte-black/6967051913.html,128gb,apple iOS,,$300,iphone 7 (128gb) matte black
apple,gold,new,unlocked,2019-09-28 08:01,https://newyork.craigslist.org/lgi/mob/d/new-apple-iphone-7-unlocked-128gb-gold/6974670769.html,128gb,apple iOS,,$280,new apple iphone 7 unlocked  128gb gold  $280
apple,,,unlocked,2019-09-27 16:55,https://newyork.craigslist.org/que/mob/d/woodhaven-iphone-6-64bg/6987866845.html,,apple iOS,,$260,iphone 6 64bg
apple,,,unlocked,2019-09-28 08:06,https://newyork.craigslist.org/lgi/mob/d/lindenhurst-iphone/6983704261.html,256gb,apple iOS,,$650,iphone x
apple,,,unlocked,2019-09-27 13:49,https://newyork.craigslist.org/que/mob/d/south-richmond-hill-iphone-7plus-128g/6987725920.html,,apple iOS,,$150,iphone 7plus 128g unlocked for sale
apple,gold,,tmobile,2019-09-27 14:53,https://newyork.craigslist.org/mnh/mob/d/new-york-gold-iphone-8-plus-factory/6987829183.html,64gb,apple iOS,,$440,gold iphone 8 plus factory unlocked 64gb (8+).
apple,,good,unlocked,2019-09-27 15:35,https://newyork.craigslist.org/mnh/mob/d/calion-iphone-6s-unlocked/6987897950.html,,apple iOS,6s,$120,iphone 6s unlocked
samsung,,,unlocked,2019-09-27 16:05,https://newyork.craigslist.org/que/mob/d/woodhaven-samsung-galaxy-note-8/6987866494.html,,android,,$410,samsung galaxy note 8
apple,blue,good,tmobile,2019-09-27 16:10,https://newyork.craigslist.org/mnh/mob/d/brooklyn-apple-iphone-7-128gb-jet-black/6987823417.html,128gb,apple iOS,iphone 7,$299,apple iphone 7 128gb [jet black] unlocked
samsung,,,unlocked,2019-09-27 16:15,https://newyork.craigslist.org/que/mob/d/woodhaven-samsung-galaxy-note-8/6987867177.html,,android,,$410,samsung galaxy note 8
apple,gold,like new,unlocked,2019-09-27 12:25,https://newyork.craigslist.org/brx/mob/d/bronx-iphone-8-64gb-unlocked-gold/6987719467.html,64gb,apple iOS,iPhone 8 64gb,$390,iphone 8 64gb unlocked gold
apple,,,unlocked,2019-09-27 12:27,https://newyork.craigslist.org/que/mob/d/woodhaven-iphone-8-plus/6987626562.html,,apple iOS,,$599,iphone 8 plus
razer,,excellent,att,2019-09-27 12:31,https://newyork.craigslist.org/mnh/mob/d/new-york-razer-phone-1st-gen-execellent/6980575251.html,64gb,android,1st Gen,$280,razer phone 1st gen (execellent condition) negotiable
samsung,gold,like new,unlocked,2019-09-27 12:33,https://newyork.craigslist.org/brx/mob/d/bronx-samsung-galaxy-note-5-32gb/6987702974.html,32gb,android,Galaxy note 5 32gb,$200,samsung galaxy note 5 32gb unlocked gold
none,,new,att,2019-09-27 12:38,https://newyork.craigslist.org/brk/mob/d/brooklyn-lgk30-brand-new-in-original/6987735671.html,,android,,$98,lgk30 brand new in original package
none,,new,att,2019-09-27 12:44,https://newyork.craigslist.org/brk/mob/d/brooklyn-brand-new-lgk-30-phone/6987741613.html,,android,,$98,brand new lgk 30 phone
samsung,blue,,unlocked,2019-09-27 12:44,https://newyork.craigslist.org/que/mob/d/samsung-galaxy-s10e-128gb-blue-unlocked/6987676581.html,128gb,android,,$500,samsung galaxy s10e 128gb blue unlocked/desbloqueado - mint
samsung,red,new,unlocked,2019-09-27 09:59,https://newyork.craigslist.org/brk/mob/d/staten-island-brand-new/6987595229.html,,android,Galaxy S10+,$800,brand new
samsung,black,,unlocked,2019-09-27 05:06,https://newyork.craigslist.org/brx/mob/d/samsung-galaxy-s7/6966293623.html,,android,,$150,samsung galaxy s7
lg,,excellent,unlocked,2019-09-26 22:53,https://newyork.craigslist.org/brk/mob/d/brooklyn-lg-v20-64gb-unlocked/6987405788.html,64gb,android,v20,$130,lg v20 64gb unlocked
apple,,excellent,tmobile,2019-09-26 23:05,https://newyork.craigslist.org/que/mob/d/maspeth-iphone-8-plus/6987448171.html,256gb,apple iOS,iPhone 8 plus,$500,iphone 8 plus
apple,,like new,unlocked,2019-09-27 06:17,https://newyork.craigslist.org/brx/mob/d/bronx-good-iphone-parts-only/6987513864.html,,apple iOS,iphone X,$350,good iphone x  (parts only)
apple,red,,att,2019-09-26 22:36,https://newyork.craigslist.org/brx/mob/d/bronx-dont-missed-great-opportunity-to/6987411613.html,,apple iOS,,$45,don't missed a great opportunity to getting your product fix
samsung,,excellent,att,2019-09-26 22:39,https://newyork.craigslist.org/brk/mob/d/brooklyn-samsung-galaxy-s8-plus-64gb-att/6987405520.html,64gb,android,s8 plus,$260,samsung galaxy s8 plus 64gb at&t
samsung,,like new,unlocked,2019-09-26 23:09,https://newyork.craigslist.org/brk/mob/d/brooklyn-like-new-samsung-galaxy-a20/6987449327.html,,android,Galaxy A20,$80,like new samsung galaxy a20 (metropcs)
samsung,blue,like new,verizon,2019-09-26 22:27,https://newyork.craigslist.org/que/mob/d/flushing-samsung-s9-s9-plus-verizon/6987415977.html,,android,S9+ / plus,$400,samsung s9+ / s9 plus verizon unlocked 64g blue
