Index,Brand,Condition,Price
304, Apple,4,200
305, Apple,4,200
306, Samsung,4,150
307, Apple,4,325
308, Samsung,4,150
309, Lg,4,70
310, Apple,2,125
311, Apple,4,280
312, Motorola,4,45
313, Apple,4,200
314, Apple,4,35
315, Apple,4,550
316, Apple,4,170
317, Samsung,4,100
318, Apple,4,199
319, Apple,4,250
320, Samsung,4,490
321, Apple,4,275
322, Apple,4,170
323, Apple,4,430
324, Alcatel,4,50
325, Samsung,4,100
326, Apple,4,210
327, Apple,2,50
328, Apple,4,180
329, Samsung,4,300
330, Apple,4,150
331, Apple,4,200
332, Apple,4,250
333, Apple,4,200
334, Lg,2,80
335, Lg,4,60
336, Apple,4,890
337, Apple,4,225
338, apple,4,79
339, Samsung,4,179
340, Apple,4,100
341, Apple,4,100
342, Apple,4,350
343, Apple,4,225
344, Apple,4,275
345, Samsung,2,500
346, Samsung,4,110
347, Samsung,4,50
348, Apple,2,50
349, Apple,4,650
350, Apple,4,150
351, Apple,4,100
352, Lg,3,70
353, Apple,4,650
354, Samsung,4,725
355, Apple,2,180
356, Samsung,4,100
357, Samsung,4,490
358, Samsung,2,100
359, Apple,2,280
360, Apple,4,240
361, Apple,4,250
362, Apple,4,275
363, Samsung,4,390
364, Apple,4,299
365, Apple,4,225
366, Apple,4,430
367, Samsung,4,50
368, Samsung,4,50
369, Apple,4,65
370, Apple,4,299
371, Apple,4,40
372, Apple,4,100
373, Apple,2,600
374, Samsung,4,50
375, Samsung,4,300
376, Lg,4,230
377, Apple,2,55
378, Apple,4,300
379, Samsung,4,999
380, Apple,2,230
381, Samsung,4,140
382, Samsung,4,140
383, Apple,4,300
384, Htc,3,140
385, Motorola,4,190
386, Motorola,2,75
387, Motorola,4,70
388, Alcatel,4,110
389, Htc,4,70
390, Alcatel,2,50
391, Alcatel,4,50
392, Lg,4,50
393, Lg,4,100
394, Lg,4,120
395, Apple,4,210
396, Apple,4,299
397, Apple,4,130
398, Apple,4,129
399, Lg,4,60
400, Apple,4,100
401, Samsung,4,479
402, Lg,4,90
403, Apple,2,100
404, Samsung,4,100
405, Huawei,2,200
406, Samsung,4,100
407, Samsung,4,500
408, Apple,2,150
409, Samsung,4,249
410, Apple,4,155
411, Samsung,5,499
412, One Plus,4,360
413, Apple,4,123
414, One Plus,4,325
415, Apple,4,299
416, Samsung,4,150
417, Google,4,350
418, Apple,4,200
419, Samsung,4,275
420, Apple,4,375
421, Samsung,4,360
422, Samsung,4,150
423, Apple,4,160
424, Apple,4,95
425, Apple,4,240
426, Apple,4,425
427, Htc,4,150
428, Apple,4,350
429, Apple,4,150
430, Apple,4,350
431, Apple,4,300
432, Google,2,220
433, Apple,2,1000
434, Apple,4,210
435, Samsung,4,375
436, Samsung,4,150
437, Apple,4,200
438, Samsung,4,235
439, Samsung,4,149
440, Apple,4,149
441, Apple,4,100
442, Apple,4,100
443, Samsung,2,50
444, Apple,4,240
445, Apple,4,220
446, Apple,4,180
447, Apple,4,99
448, Apple,4,129
449, Apple,4,155
450, Apple,4,100
451, Apple,4,150
452, Apple,4,385
453, Apple,2,135
454, Apple,4,145
455, Samsung,4,349
456, Samsung,4,379
457, Apple,4,140
458, Apple,4,140
459, Motorola,2,100
460, Apple,4,180
461, Samsung,4,120
462, Apple,2,450
463, Samsung,4,500
464, Samsung,4,140
465, Lg,2,75
466, Samsung,4,850
467, Apple,2,550
468, Apple,2,875
469, Apple,4,300
470, Samsung,4,50
471, Apple,4,65
472, Apple,4,240
473, Apple,4,150
474, Samsung,4,400
475, Alcatel,4,69
476, Apple,2,179
477, Apple,2,100
478, Apple,4,330
479, Apple,4,280
480, Lg,4,50
481, Motorola,4,220
482, Motorola,4,270
483, Apple,4,80
484, Samsung,4,80
485, Sony,4,215
486, Apple,3,450
487, Apple,4,1000
488, Lg,4,125
489, Samsung,4,300
490, Apple,4,250
491, Apple,4,525
492, Apple,4,149
493, Samsung,4,235
494, Samsung,4,149
495, Apple,4,239
496, Motorola,2,200
497, Apple,4,300
498, Apple,2,85
499, Apple,4,240
500, Apple,4,375
501, Apple,4,250
502, Apple,4,220
503, Apple,4,65
504, Apple,4,400
505, Samsung,4,120
506, Apple,2,230
507, Samsung,2,50
508, Lg,2,100
509, Motorola,2,40
510, Samsung,4,40
511, Samsung,4,475
512, Apple,4,169
513, Apple,4,160
514, Apple,2,55
515, Apple,4,50
516, Apple,4,200
517, Lg,4,325
518, Apple,4,390
519, Apple,4,400
520, Apple,4,110
521, Apple,4,400
522, Apple,4,499
523, Apple,2,75
524, Samsung,4,750
525, Apple,4,169
526, Samsung,4,185
527, Samsung,4,50
528, Apple,4,65
529, Apple,4,50
530, Apple,4,90
531, Samsung,4,750
532, Apple,4,169
533, Apple,4,100
534, Samsung,4,249
535, Apple,4,259
536, Apple,4,429
537, Samsung,4,149
538, Apple,2,650
539, Apple,4,180
540, Apple,4,210
541, Apple,1,120
542, Samsung,4,500
543, Apple,4,175
544, Apple,4,350
545, Apple,4,550
546, Apple,4,150
547, Lg,4,150
548, Apple,4,169
549, Samsung,4,179
550, Apple,4,55
551, Apple,4,310
552, Samsung,4,120
553, Apple,4,400
554, Samsung,4,200
555, Samsung,4,750
556, Samsung,4,950
557, Apple,4,250
558, Motorola,4,100
559, Apple,4,380
560, Apple,4,55
561, Apple,4,240
562, Apple,4,200
563, Samsung,4,407
564, Apple,4,600
565, Apple,2,100
566, Samsung,4,49
567, Apple,4,400
568, Apple,4,200
569, Apple,4,200
570, Apple,4,169
571, Apple,4,440
572, Samsung,4,250
573, Samsung,4,250
574, Samsung,4,150
575, Samsung,4,125
576, Samsung,4,350
577, Apple,2,135
578, Apple,4,193
579, Apple,4,250
580, Apple,4,248
581, Apple,4,280
582, Apple,4,225
583, Apple,4,130
584, Samsung,4,35
585, Apple,4,400
586, Samsung,4,400
587, Samsung,4,100
588, Apple,4,200
589, Samsung,4,200
590, Samsung,4,235
591, Samsung,4,149
592, Apple,4,149
593, Apple,4,250
594, Samsung,4,179
595, Samsung,4,349
596, Motorola,4,190
597, Samsung,4,115
598, Apple,4,165
599, Apple,4,155
600, Apple,4,129
601, Apple,1,40
602, Apple,4,140
603, Apple,4,150
604, Apple,4,160
605, Apple,2,65
606, Apple,4,55
607, Samsung,4,415
608, Nokia,2,50
609, Motorola,4,165
610, Apple,4,250
611, Samsung,4,325
612, Apple,4,200
613, Samsung,4,60
614, Samsung,4,320
615, Lg,4,400
616, Apple,4,248
617, Samsung,4,300
618, Samsung,4,349
619, Apple,4,300
620, Apple,2,40
621, Google,4,179
622, Google,4,100
623, Apple,2,220
624, Apple,4,280
625, Apple,2,55
626, Apple,4,800
627, Samsung,4,190
628, Apple,4,850
629, Apple,4,380
630, Apple,4,800
631, Apple,4,150
632, Samsung,4,50
633, Apple,2,65
634, Samsung,4,300
635, Apple,4,160
636, Samsung,3,450
637, Htc,4,180
638, Samsung,4,89
639, Samsung,4,420
640, Apple,4,180
641, Apple,2,200
642, Apple,4,200
643, Samsung,4,400
644, Samsung,4,125
645, Samsung,4,360
646, Apple,4,159
647, Samsung,4,80
648, Samsung,4,80
649, Apple,4,375
650, Samsung,4,130
651, Apple,4,320
652, Apple,4,260
653, Apple,2,200
654, Samsung,4,380
655, Apple,4,149
656, Samsung,4,149
657, Samsung,4,235
658, Samsung,4,300
659, Apple,4,100
660, Apple,4,169
661, Samsung,1,100
662, Samsung,4,400
663, Lg,4,140
664, Lg,2,75
665, Apple,4,900
666, Apple,4,250
667, Apple,4,300
668, Apple,4,650
669, Apple,4,750
670, Samsung,4,130
671, Samsung,4,525
672, Motorola,4,40
673, Apple,4,640
674, Samsung,4,975
675, Apple,4,250
676, Apple,4,270
677, Samsung,4,75
678, Samsung,4,340
679, Apple,4,55
680, Apple,4,320
681, Apple,4,260
682, Samsung,4,240
683, Lg,3,90
684, Samsung,4,40
685, Apple,4,599
686, Lg,4,100
687, Apple,1,80
688, Samsung,4,160
689, Apple,4,280
690, Samsung,4,400
691, Apple,4,70
692, Samsung,4,340
693, Samsung,4,340
694, Motorola,4,150
695, Apple,4,100
696, Samsung,4,160
697, Apple,4,100
698, Samsung,4,155
699, Samsung,4,235
700, Samsung,4,149
701, Samsung,4,155
702, Samsung,4,400
703, Apple,4,200
704, Apple,4,400
705, Samsung,4,127
706, Samsung,4,127
707, Apple,4,99
708, Apple,4,225
709, Apple,4,300
710, Apple,4,400
711, Apple,4,250
712, Apple,4,520
713, Samsung,4,250
714, Apple,4,400
715, Apple,4,700
716, Apple,4,350
717, Apple,4,700
718, Apple,4,400
719, Apple,4,550
720, Apple,4,129
721, Apple,4,380
722, Apple,4,50
723, Apple,4,360
724, Apple,4,300
725, Apple,4,225
726, Apple,4,55
727, Samsung,4,375
728, Apple,2,249
729, Samsung,4,350
730, Apple,2,160
731, Apple,4,130
732, Apple,4,220
733, Apple,4,210
734, Apple,4,220
735, Samsung,4,300
736, Samsung,4,155
737, Samsung,4,155
738, Samsung,4,299
739, Apple,4,400
740, Samsung,4,360
741, Apple,4,260
742, Apple,4,129
743, Apple,4,250
744, Apple,4,170
745, Apple,4,200
746, Samsung,4,175
747, Apple,4,169
748, Apple,4,300
749, Apple,4,325
750, Samsung,3,149
751, Samsung,4,225
752, Apple,4,149
753, Apple,4,100
754, Apple,4,550
755, Samsung,3,450
756, blackberry,4,150
757, Apple,2,519
758, Samsung,4,525
759, Apple,4,240
760, Motorola,2,100
761, Apple,2,750
762, Apple,4,100
763, Apple,4,55
764, Apple,4,300
765, Apple,4,179
766, Apple,4,299
767, Samsung,2,50
768, Apple,4,65
769, Apple,2,195
770, Samsung,3,450
771, Apple,4,120
772, Apple,4,200
773, Apple,4,340
774, Zte,2,80
775, Apple,4,680
776, Apple,4,150
777, Apple,4,250
778, Samsung,4,300
779, Apple,4,340
780, Apple,4,200
781, Apple,4,400
782, Samsung,4,95
783, Samsung,4,250
784, Apple,4,140
785, Apple,4,400
786, Apple,4,222
787, Samsung,2,190
788, Apple,4,160
789, Google,4,350
790, Apple,4,280
791, Apple,4,150
792, Apple,4,400
793, Apple,4,200
794, Apple,4,45
795, Apple,4,100
796, Samsung,4,200
797, Apple,2,55
798, Samsung,4,400
799, Apple,4,150
800, Alcatel,4,65
801, Apple,4,290
802, Samsung,4,360
803, Apple,4,260
804, Samsung,4,230
805, Samsung,4,420
806, Apple,4,180
807, Apple,4,335
808, Apple,4,150
809, Samsung,4,269
810, Samsung,4,299
811, Apple,4,400
812, Apple,4,315
813, Apple,4,850
814, Apple,4,350
815, Apple,4,850
816, Motorola,4,140
817, Apple,4,450
818, Apple,4,135
819, Apple,4,250
820, Google,4,79
821, Lg,4,40
822, Samsung,4,600
823, Samsung,4,175
824, Samsung,4,160
825, Apple,4,600
826, Samsung,4,350
827, Apple,4,225
828, Apple,4,55
829, Apple,4,280
830, Apple,2,770
831, Apple,2,115
832, Apple,4,899
833, Apple,2,100
834, Apple,4,500
835, Apple,4,400
836, Apple,4,300
837, Apple,4,650
838, Lg,4,60
839, Apple,4,340
840, Samsung,4,65
841, Samsung,4,320
842, Apple,4,180
843, Samsung,4,350
844, Apple,4,300
845, Apple,4,400
846, Apple,4,55
847, Apple,4,220
848, Apple,4,210
849, Apple,3,89
850, Apple,4,79
851, Apple,4,220
852, Apple,4,149
853, Samsung,4,225
854, Samsung,4,149
855, Samsung,2,199
856, Apple,4,169
857, Samsung,4,50
858, Apple,4,165
859, Apple,4,429
860, Apple,4,290
861, Apple,4,300
862, Lg,4,200
863, Samsung,4,350
864, Apple,4,350
865, Apple,4,105
866, Apple,4,259
867, Apple,4,169
868, Apple,4,235
869, Samsung,4,249
870, Apple,4,180
871, Samsung,4,149
872, Samsung,4,379
873, Samsung,4,325
874, Lg,4,99
875, Samsung,4,210
876, Samsung,4,150
877, Apple,2,50
878, Apple,4,55
879, Apple,4,150
880, Apple,4,279
881, Alcatel,4,50
882, Samsung,4,150
883, Apple,4,65
884, Lg,4,360
885, Apple,4,329
886, Apple,4,150
887, Apple,4,100
888, Samsung,4,320
889, Apple,4,150
890, Apple,4,200
891, Samsung,4,140
892, Apple,4,120
893, Apple,4,200
894, Apple,4,399
895, Apple,4,50
896, Apple,4,165
897, Apple,4,400
898, Apple,5,600
899, Apple,5,600
900, Apple,4,200
901, Samsung,4,99
902, Apple,4,249
903, Apple,4,580
904, Apple,4,150
905, Lg,4,125
906, Apple,2,150
907, Nokia,4,40
908, Samsung,4,100
909, Apple,4,175
910, Samsung,4,50
911, Apple,3,100
912, Apple,2,490
913, Apple,4,350
914, Motorola,4,60
915, Apple,4,170
916, Apple,4,225
917, Lg,2,80
918, Google,4,149
919, Samsung,4,700
920, Samsung,4,199
921, Samsung,2,149
922, Samsung,4,225
923, Apple,4,149
924, Apple,4,400
925, Samsung,2,175
926, Apple,4,55
927, Apple,4,290
928, Samsung,4,120
929, Samsung,4,290
930, Apple,2,280
931, Apple,4,420
932, Apple,4,160
933, Apple,4,280
934, Apple,2,875
935, Apple,4,169
936, Apple,4,260
937, Lg,4,180
938, Samsung,4,100
939, Apple,4,250
940, Apple,2,150
941, Samsung,4,60
942, Samsung,3,49
943, Apple,4,215
944, Apple,4,100
945, Samsung,4,400
946, Apple,2,300
947, Samsung,4,300
948, Apple,4,290
949, Apple,4,75
950, Samsung,4,207
951, Samsung,4,179
952, Apple,4,40
953, Apple,4,160
954, Google,4,79
955, Apple,4,85
956, Apple,3,95
957, Apple,4,110
958, apple,2,50
959, Apple,2,315
960, Apple,4,200
961, Apple,4,149
962, Samsung,4,225
963, Samsung,4,149
964, Apple,2,150
965, Samsung,4,130
966, Apple,4,799
967, Apple,4,75
968, Apple,4,799
969, Apple,4,250
970, Samsung,4,360
971, Samsung,4,290
972, Samsung,4,370
973, Samsung,4,650
974, Apple,4,40
975, Apple,2,200
976, Samsung,4,295
977, Samsung,4,50
978, Apple,2,65
979, Apple,2,150
980, Samsung,4,650
981, Apple,4,279
982, Apple,4,150
983, Apple,4,700
984, Apple,4,350
985, Apple,4,340
986, Htc,4,100
987, Apple,4,80
988, Samsung,2,310
989, Samsung,4,340
990, Apple,4,279
991, Apple,2,650
992, Samsung,2,249
993, Apple,4,350
994, Apple,4,70
995, Samsung,4,115
996, Apple,4,400
997, Apple,4,55
998, Apple,4,250
999, Apple,4,100
1000, Samsung,2,100
1001, Samsung,4,120
1002, Apple,4,155
1003, Apple,4,155
1004, Samsung,4,250
1005, Apple,4,180
1006, Motorola,4,400
1007, Apple,4,900
1008, Apple,4,40
1009, Apple,4,180
1010, Samsung,4,800
1011, Alcatel,4,40
1012, Samsung,4,350
1013, Apple,4,50
1014, Samsung,4,275
1015, Samsung,4,275
1016, Samsung,4,275
1017, Apple,4,205
1018, Apple,4,420
1019, Samsung,4,800
1020, Samsung,4,179
1021, Samsung,4,850
1022, Apple,4,149
1023, Apple,4,155
1024, Samsung,4,149
1025, Samsung,4,225
1026, Apple,4,195
1027, Apple,2,215
1028, Apple,2,175
1029, Apple,4,195
1030, Apple,4,220
1031, Samsung,4,350
1032, Apple,4,420
1033, Samsung,4,280
1034, Samsung,4,290
1035, Samsung,4,295
1036, Apple,5,520
1037, Apple,4,550
1038, Apple,4,275
1039, Apple,4,245
1040, Apple,4,370
1041, Apple,4,395
1042, Samsung,4,850
1043, Apple,4,440
1044, Samsung,4,850
1045, Samsung,4,400
1046, Samsung,2,150
1047, Samsung,4,115
1048, Samsung,4,249
1049, Samsung,2,199
1050, Samsung,4,160
1051, Apple,4,180
1052, Apple,4,60
1053, Lg,4,70
1054, Motorola,2,75
1055, Alcatel,4,110
1056, Samsung,4,155
1057, Motorola,2,190
1058, Google,4,300
1059, Apple,4,400
1060, Lg,4,50
1061, Apple,4,350
1062, Apple,4,390
1063, Apple,2,49
1064, Apple,2,260
1065, Apple,4,375
1066, Apple,4,375
1067, Apple,2,55
1068, Apple,4,640
1069, Apple,4,280
1070, Apple,2,480
1071, Apple,4,150
1072, Samsung,4,100
1073, Apple,4,399
1074, Google,4,325
1075, Apple,4,250
1076, Samsung,4,300
1077, Apple,4,215
1078, Apple,4,550
1079, Apple,4,200
1080, Samsung,4,350
1081, Samsung,4,390
1082, Motorola,4,300
1083, Apple,4,299
1084, Samsung,4,150
1085, Apple,2,50
1086, Apple,4,270
1087, Apple,4,470
1088, Apple,4,270
1089, Samsung,4,330
1090, Samsung,4,50
1091, Apple,5,500
1092, Apple,4,65
1093, Samsung,4,620
1094, Apple,4,400
1095, Apple,3,100
1096, Samsung,4,175
1097, Apple,4,170
1098, Apple,4,370
1099, Samsung,4,150
1100, Apple,4,360
1101, Apple,4,300
1102, Apple,2,599
1103, Apple,4,330
1104, Samsung,4,150
1105, Apple,4,320
1106, Samsung,4,450
1107, Samsung,4,650
1108, Apple,4,380
1109, Samsung,4,165
1110, Apple,4,79
1111, Apple,2,55
1112, Apple,4,950
1113, Apple,4,79
1114, Apple,4,480
1115, Apple,4,100
1116, Apple,4,150
1117, Apple,4,350
1118, Apple,4,270
1119, Samsung,4,60
1120, Apple,4,700
1121, Apple,4,249
1122, Samsung,2,449
1123, Apple,4,550
1124, Apple,4,403
1125, Apple,4,1000
1126, Samsung,4,180
1127, Apple,2,120
1128, Apple,4,180
1129, Apple,4,55
1130, Apple,4,400
1131, Samsung,4,180
1132, Apple,2,120
1133, Apple,4,180
1134, Apple,4,290
1135, Apple,2,250
1136, Apple,2,290
1137, Samsung,4,350
1138, Apple,4,640
1139, Apple,4,250
1140, Apple,4,160
1141, Vivo,4,80
1142, Apple,4,480
1143, Samsung,4,650
1144, Samsung,4,270
1145, Apple,4,169
1146, Apple,4,550
1147, Samsung,2,150
1148, Apple,4,300
1149, Samsung,4,340
1150, Samsung,4,399
1151, Apple,4,120
1152, Apple,4,120
1153, Apple,4,315
1154, Apple,4,225
1155, Motorola,4,199
1156, Samsung,4,350
1157, Samsung,4,125
1158, Apple,4,250
1159, Apple,4,400
1160, Apple,4,55
1161, Apple,4,167
1162, Apple,4,249
1163, Apple,4,80
1164, Apple,4,775
1165, Blackberry,4,50
1166, Apple,4,800
1167, Apple,4,449
1168, Apple,4,100
1169, Apple,4,250
1170, Apple,2,120
1171, Apple,4,250
1172, Apple,4,675
1173, Apple,4,407
1174, Blackberry,2,39
1175, Samsung,4,350
1176, Samsung,2,800
1177, Samsung,4,379
1178, Apple,4,259
1179, Apple,4,169
1180, Apple,4,400
1181, Apple,4,100
1182, Motorola,2,275
1183, Apple,4,220
1184, Apple,4,240
1185, Apple,4,410
1186, Samsung,4,120
1187, Samsung,4,290
1188, Apple,4,250
1189, Apple,4,240
1190, Apple,2,200
1191, Samsung,4,260
1192, Apple,4,79
1193, Apple,4,600
1194, Samsung,4,250
1195, Apple,4,169
1196, Apple,4,798
1197, Apple,4,249
1198, Apple,4,160
1199, Apple,2,600
1200, Apple,4,580
1201, Apple,4,350
1202, Samsung,4,270
1203, Apple,4,230
1204, Apple,4,230
1205, Apple,3,450
1206, Apple,4,130
1207, Samsung,4,150
1208, Apple,4,300
1209, Apple,4,100
1210, Apple,4,600
1211, Apple,4,399
1212, Samsung,2,160
1213, Samsung,4,275
1214, Lg,4,145
1215, Lg,4,125
1216, Lg,2,125
1217, Samsung,4,400
1218, Samsung,4,100
1219, Samsung,4,40
1220, Apple,4,350
1221, Apple,2,320
1222, Samsung,2,100
1223, Apple,4,340
1224, Apple,2,169
1225, Apple,4,60
1226, Apple,4,800
1227, Apple,4,430
1228, Apple,2,175
1229, Apple,2,499
1230, Apple,4,300
1231, Apple,4,200
1232, Apple,4,200
1233, Apple,4,290
1234, Apple,4,200
1235, Apple,4,200
1236, Lg,4,100
1237, Apple,2,135
1238, Apple,4,180
1239, Samsung,4,220
1240, Samsung,4,90
1241, Apple,4,180
1242, Apple,4,400
1243, Samsung,4,49
1244, Lg,4,349
1245, Apple,4,400
1246, Apple,4,260
1247, Apple,4,600
1248, Apple,4,279
1249, Apple,4,169
1250, Samsung,4,249
1251, Apple,4,169
1252, Samsung,4,379
1253, Lg,4,250
1254, Apple,4,429
1255, Apple,4,259
1256, Apple,4,275
1257, Samsung,4,50
1258, Apple,4,659
1259, Zte,4,100
1260, Apple,4,390
1261, Apple,4,400
1262, Apple,4,999
1263, Apple,4,210
1264, Apple,4,900
1265, Samsung,4,350
1266, Apple,4,65
1267, Apple,4,580
1268, Lg,4,50
1269, Apple,4,250
1270, Apple,4,255
1271, Apple,4,255
1272, Samsung,4,50
1273, Apple,4,820
1274, Apple,5,750
1275, Samsung,4,300
1276, Apple,4,150
1277, Apple,4,360
1278, Samsung,4,250
1279, Lg,4,100
1280, Apple,4,299
1281, Samsung,4,328
1282, Apple,4,630
1283, apple,4,350
1284, Samsung,2,160
1285, Apple,4,450
1286, Samsung,4,228
1287, Apple,4,295
1288, Apple,4,999
1289, Samsung,2,120
1290, Samsung,4,165
1291, Apple,4,160
1292, Apple,2,169
1293, Apple,4,380
1294, Apple,3,450
1295, Apple,4,250
1296, Samsung,4,300
1297, Apple,4,350
1298, Apple,4,400
1299, Apple,4,75
1300, Apple,4,400
1301, Motorola,4,80
1302, Motorola,2,110
1303, Apple,4,300
1304, Apple,4,200
1305, Apple,4,400
1306, Apple,4,200
1307, Apple,4,200
1308, Apple,4,400
1309, Apple,4,750
1310, Apple,4,290
1311, Samsung,4,350
1312, Apple,4,220
1313, Apple,4,290
1314, Apple,4,150
1315, Apple,4,55
1316, Samsung,4,140
1317, Apple,4,490
1318, Apple,2,120
1319, Apple,4,170
1320, Apple,4,169
1321, Apple,4,659
1322, Apple,4,999
